frame,frame_total,update,physics,collision,enemy_manager,ai,render,render_tiles,render_particles,render_hazards,render_pickups,render_portals,render_enemies,render_npcs,render_player,render_companions,render_projectiles,render_hud,present,fps_instantaneous
105,11.4145,3.6225,0.0025,0.3129,0.0067,0.0,7.5165,5.4741,0.0025,0.0027,0.5326,0.0864,0.0031,0.0331,0.0321,0.0653,0.0008,1.1374,0.0006,87.61
106,10.5171,3.1074,0.0027,0.2936,0.0076,0.0,7.1503,5.1242,0.0022,0.0027,0.5052,0.0882,0.0036,0.0339,0.0329,0.0592,0.0009,1.1492,0.0007,95.08
107,10.601,3.2226,0.003,0.2948,0.0075,0.0,7.1094,5.2084,0.002,0.0022,0.4957,0.095,0.0036,0.032,0.0317,0.0593,0.0009,1.0335,0.0006,94.33
108,10.7397,3.4716,0.003,0.2918,0.0072,0.0,6.9989,5.0969,0.0019,0.0019,0.5019,0.0929,0.0029,0.034,0.0316,0.0603,0.0007,1.0307,0.0005,93.11
109,11.1579,3.2668,0.0034,0.2992,0.0076,0.0,7.5952,5.3529,0.0024,0.0026,0.547,0.0895,0.0046,0.0354,0.0356,0.0615,0.0011,1.2987,0.0008,89.62
110,11.0921,3.4872,0.0037,0.3018,0.0079,0.0,7.3283,5.3146,0.0023,0.0026,0.5058,0.0846,0.0033,0.0335,0.0332,0.0655,0.0007,1.1277,0.0005,90.15
111,11.4206,3.4524,0.0031,0.3087,0.0072,0.0,7.6852,5.5846,0.0024,0.0025,0.4993,0.0898,0.004,0.0364,0.0354,0.0612,0.001,1.2139,0.0007,87.56
112,22.4391,15.1218,0.0041,0.3038,0.0068,0.0,7.0459,5.088,0.003,0.0027,0.4991,0.0882,0.0033,0.036,0.0343,0.0585,0.0008,1.0831,0.0004,44.57
113,11.602,3.9582,0.0035,0.2951,0.0071,0.0,7.3883,5.4415,0.0026,0.0024,0.5136,0.0866,0.0031,0.0335,0.0324,0.0665,0.001,1.0563,0.0006,86.19
114,12.8181,3.3813,0.0036,0.3451,0.0074,0.0,9.1134,6.4313,0.0122,0.0033,1.0165,0.0963,0.0034,0.0346,0.0327,0.0615,0.0014,1.2619,0.0006,78.01
115,14.2295,4.423,0.005,0.5068,0.0103,0.0,9.3305,6.4961,0.0031,0.0027,0.5258,0.0846,0.0032,0.0772,0.0713,0.1116,0.0016,1.6477,0.0005,70.28
116,13.4598,4.2855,0.0036,0.4559,0.0103,0.0,8.6785,5.9575,0.0032,0.0031,0.6741,0.1111,0.0043,0.0455,0.042,0.0987,0.0013,1.4879,0.0006,74.3
117,13.3913,4.5399,0.0044,0.309,0.0081,0.0,8.5524,6.3843,0.0027,0.0038,0.5144,0.0865,0.0034,0.0351,0.0323,0.0624,0.0013,1.2637,0.0005,74.68
118,11.2124,3.315,0.0036,0.3297,0.0076,0.0,7.6246,5.6467,0.0023,0.0024,0.5124,0.0859,0.0036,0.034,0.0326,0.0619,0.0011,1.0925,0.0007,89.19
119,13.2459,3.9621,0.0038,0.3003,0.0069,0.0,8.9822,5.8378,0.0029,0.0032,0.516,0.0915,0.0033,0.0767,0.0443,0.1557,0.0025,2.005,0.0008,75.5
